	PojBit	Pok	TS	NS	ST	ApEn
1	T	T	T	T	T	T
2	T	T	T	F	T	T
3	T	T	T	T	T	T
4	T	T	T	T	T	T
5	T	T	T	T	T	T
6	T	T	T	T	T	T
7	T	T	T	F	F	T
8	T	T	T	T	T	T
9	T	F	T	F	T	T
10	T	T	T	T	T	T
11	T	T	T	F	T	T
12	T	T	T	T	T	T
13	T	F	T	T	T	T
14	T	T	T	T	T	T
15	T	T	T	T	T	T
16	T	T	T	F	T	T
17	T	T	T	T	T	T
18	T	T	T	T	T	T
19	T	T	T	F	T	T
20	T	T	T	T	T	T
