	PojBit	Pok	TS	NS	ST	ApEn
1	T	F	F	T	F	F
2	T	F	F	T	F	F
3	T	F	F	T	F	F
4	T	F	F	T	F	F
5	T	F	F	T	F	F
6	T	F	F	F	F	F
7	T	F	F	T	F	F
8	T	F	F	T	F	F
9	T	F	F	T	F	F
10	T	F	F	T	F	F
11	T	F	F	T	F	F
12	T	F	F	T	F	F
13	T	F	F	T	F	F
14	T	F	F	T	F	F
15	T	F	F	F	F	F
16	T	F	F	T	F	F
17	T	F	F	T	F	F
18	T	F	F	T	F	F
19	T	F	F	T	F	F
20	T	F	F	T	F	F
