	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	9894	12,2624	4998	14	2,55	0,34	0,692993766784
2	10141	18,9376	4973	14	6,53	1,97	0,692862204923
3	9889	13,7984	4978	13	4,47	1,62	0,692979049429
4	9913	11,8912	4965	13	6,53	4,04	0,692951098129
5	10115	23,5008	4991	13	3,72	1,06	0,693013718894
6	9852	10,7392	5012	13	5,1	0,6	0,692964570667
7	10108	10,1248	4979	12	11,7	9,01	0,692763806578
8	10027	7,9808	4993	14	0,93	0,75	0,693009810317
9	10114	16,6144	4907	14	9,78	0,11	0,692702658528
10	10029	8,1344	5058	19	4,31	1,45	0,693019908817
11	10002	21,28	5052	16	6,95	4,83	0,692916617294
12	9910	11,6672	5000	11	2,09	0,43	0,692989835314
13	9907	22,848	5047	14	8,5	5,08	0,692870139187
14	10115	22,8032	4996	14	4,91	2,21	0,692866274109
15	9818	17,76	5009	12	7,73	1,12	0,692920656966
16	10060	12,96	4966	10	1,78	0,08	0,692959117414
17	10035	8,1984	4962	14	3,06	1,65	0,692909296143
18	9927	11,8656	5011	14	1,84	0,65	0,6930271957
19	9910	24,0	4940	12	9,23	4,72	0,692787164514
20	10043	9,8752	5026	12	1,56	0,65	0,692998669886
