	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10037	165,792	5441	14	160,29	5,14	0,688248825929
2	9965	239,1808	5598	19	290,53	4,2	0,683616230124
3	10034	333,76	5726	18	445,66	23,76	0,679808020397
4	9964	360,5696	5745	14	497,54	53,26	0,678234546377
5	10025	412,9984	5788	14	527,17	30,29	0,677731126952
6	10042	358,4	5740	10	470,37	31,94	0,679354275083
7	9912	475,648	5864	15	624,72	25,97	0,674756105958
8	9951	395,2384	5762	18	485,56	20,57	0,678673392678
9	9938	250,8096	5605	18	325,67	33,05	0,683465400511
10	10079	258,2656	5616	14	318,79	13,97	0,683970638128
11	9992	334,4192	5664	13	384,17	31,44	0,681771728333
12	10014	297,3696	5663	14	401,05	50,42	0,681358004644
13	10018	220,8512	5587	12	289,42	13,7	0,684267213049
14	10100	369,8496	5745	12	483,0	38,18	0,678611397343
15	9988	250,4448	5588	22	288,61	12,93	0,684777070378
16	10001	388,9664	5762	14	471,93	7,41	0,680042635122
17	9996	379,936	5721	13	436,1	20,23	0,679812684349
18	10133	378,8416	5714	18	440,12	28,74	0,67812537325
19	10030	409,344	5769	19	487,77	14,5	0,677994422796
20	9951	418,6944	5800	12	557,72	45,24	0,676493219069
