	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	14777	13308,0512	2540	28	15520,08	6114,85	0,500376487078
2	14364	12449,3312	2557	29	14530,14	5946,64	0,506626143753
3	15301	19288,8256	2076	35	21734,84	9270,22	0,438750708518
4	14968	18125,664	2096	48	20507,08	8824,3	0,445373176612
5	14834	17027,1808	2159	45	19596,08	8465,54	0,453415394862
6	14727	17166,7008	2081	43	19919,36	8634,01	0,444938473733
7	15050	20617,7856	1891	68	23263,38	10430,17	0,41299193401
8	15449	20848,2496	1961	54	23572,79	10246,05	0,421156183963
9	14959	18180,7808	2044	38	20957,73	9049,05	0,437822738552
10	15158	18476,3264	2096	38	21148,77	9081,21	0,441173388112
11	15253	20055,456	2007	55	22466,75	9781,5	0,428767036886
12	15286	19776,6848	2017	38	22264,04	9557,05	0,430770917507
13	15858	21009,8624	2054	31	23893,29	10086,93	0,428468364286
14	15668	21324,4544	1986	35	23963,19	10265,77	0,422365944819
15	15524	20409,728	2028	33	23048,71	9874,81	0,42868795871
16	15019	19146,7392	2007	55	21725,67	9521,16	0,429029668985
17	15110	19046,6112	2027	53	21893,35	9599,95	0,429580641947
18	15334	20966,6752	1933	52	24024,9	10809,4	0,413012337377
19	15271	20665,1008	1931	100	23522,64	10430,94	0,417363554749
20	14809	16145,728	2254	38	18477,34	7819,63	0,464766559544
